binx,biny,lastServCellRsrp_mean,failedPCellCarrierFreq_mean,counts,TopFreq
0.0024479972548101573,0.00037951678563237593,42.06976744186046,,43,
112.4299785292454,34.68552307605057,35.0,,1,
112.99289520252518,34.71332022437208,46.0,,1,
113.00716902534062,34.76177155644645,51.0,,2,
113.01270559804213,34.76032775399892,30.0,,2,
113.04916967402237,34.80353580512769,54.0,,1,
113.05557060874042,34.79720698029634,47.0,,2,
113.05623280861784,34.79746626082041,48.0,,1,
113.05656055188751,34.79746072092573,45.0,,2,
113.0572160381585,34.79744963849097,46.8,,5,
113.05754378115977,34.797444095950894,45.0,,1,
113.05918249482343,34.797416370023726,47.0,,1,
113.06017245006525,34.797670080764,44.0,,4,
113.06082793650324,34.79765897881878,38.0,,1,
113.0614834225827,34.79764787334642,32.0,,1,
113.06181789903837,34.7979126758745,45.0,,2,
113.06214564292243,34.79790712087823,46.0,,1,
113.06740303655857,34.798358832255644,39.0,,1,
113.06937626057086,34.7985957537057,40.0,,1,
113.1018655862276,34.81264403617218,8.0,,1,
113.14968978502472,34.82316771179751,10.0,,2,
113.15001761036976,34.8231619165327,23.2,,5,
113.15034543562119,34.823156120385434,23.0,,1,
113.15035246484409,34.82342646042785,13.0,,1,
113.15101514866106,34.823685205283056,25.0,,1,
113.15234756430303,34.824473023308855,30.0,,1,
113.15434271323184,34.82551955142102,30.0,,2,
113.15732847638303,34.82681893975301,28.25,,4,
113.1573355293823,34.82708927838951,25.0,,1,
113.15765631454715,34.826813123377235,24.0,,1,
113.1576633686162,34.82708346195556,22.0,,4,
113.15799120775618,34.82707764463903,22.0,,1,
113.16397012075475,34.82994649332627,29.0,,1,
113.16429796987536,34.82994065859899,27.0,,1,
113.16496074656894,34.83019932363276,33.0,,1,
113.16561644629019,34.830187647882845,21.0,,1,
113.16826051027137,34.83095191915287,14.0,,1,
113.17024181445713,34.83145749958092,32.0,,1,
113.18064436652631,34.70334165164648,30.0,,2,
113.18672734212436,34.83467815620807,25.5,,2,
113.22833661407378,34.78415810014987,16.0,,1,
113.2408913547998,34.848296725611824,22.0,,1,
113.24154716449951,34.8482846351799,27.0,,1,
113.24836478850773,34.77324170864665,28.0,,1,
113.25163056662338,34.76074016250407,41.0,,1,
113.26102653939174,34.85279211451152,35.0,,1,
113.26465586665337,34.85353592239027,44.0,,1,
113.27321151900192,34.85445804965356,0.0,,1,
113.27387480440794,34.854716099145605,49.0,,3,
113.27748940420345,34.85491888452481,31.0,,1,
113.27847317255184,34.854900448519444,45.0,,1,
113.28026840071043,34.81294616288058,49.0,,1,
113.28208778393154,34.85510309632999,17.0,,1,
113.28237580317284,34.78234500923621,32.0,,1,
113.28339947358259,34.855078463515675,40.0,,1,
113.28405913890377,34.79583627293928,44.0,,1,
113.2843832397761,34.85505997963099,53.0,,1,
113.28471116164152,34.85505381656962,58.0,,2,
113.28471863872556,34.855324130569386,43.0,,1,
113.28504656156232,34.85531796656315,30.0,,1,
